mode,initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
short,1000,"[5, 8, 11, 14, 17, 20]",5,3,6,3,30,-142.8827,-1428.83,331,90.94,9.06,-4.32,3.59,-157.96,30.0,
short,1000,"[5, 8, 11, 14, 17, 20]",5,3,6,5,30,-142.9004,-1429.0,207,83.57,16.43,-6.9,7.02,-157.96,50.0,
short,1000,"[8, 13, 18, 23, 28]",8,5,5,7,25,-142.9979,-1429.98,142,62.68,37.32,-10.07,8.13,-67.84,56.0,
short,1000,"[5, 10, 15, 20]",5,5,4,7,30,-143.1293,-1431.29,138,75.36,24.64,-10.37,11.46,-158.42,70.0,
short,1000,"[7, 12, 17]",7,5,3,5,30,-143.3492,-1433.49,178,80.9,19.1,-8.05,7.26,-162.26,50.0,
short,1000,"[7, 11, 15]",7,4,3,5,20,-143.6015,-1436.02,252,70.63,29.37,-5.7,4.12,-82.02,50.0,
short,1000,"[6, 10, 14]",6,4,3,3,20,-143.9811,-1439.81,374,82.89,17.11,-3.85,2.4,-91.87,30.0,
short,1000,"[6, 9, 12, 15, 18, 21]",6,3,6,6,30,-144.0082,-1440.08,168,79.17,20.83,-8.57,8.39,-147.72,60.0,
short,1000,"[6, 9, 12, 15]",6,3,4,4,25,-144.195,-1441.95,264,82.95,17.05,-5.46,4.35,-132.27,40.0,
short,1000,"[6, 9, 12]",6,3,3,3,25,-144.948,-1449.48,317,86.75,13.25,-4.57,3.14,-147.37,30.0,
short,1000,"[6, 9, 12]",6,3,3,4,30,-145.1093,-1451.09,217,85.25,14.75,-6.69,6.36,-193.26,40.0,
short,1000,"[6, 10, 14]",6,4,3,4,30,-145.1564,-1451.56,217,85.25,14.75,-6.69,6.04,-182.86,40.0,
short,1000,"[6, 10, 14, 18, 22, 26]",6,4,6,7,25,-145.1631,-1451.63,167,68.86,31.14,-8.69,8.43,-82.67,58.33,
short,1000,"[8, 12, 16, 20, 24]",8,4,5,7,25,-145.2281,-1452.28,150,65.33,34.67,-9.68,7.68,-80.16,70.0,
short,1000,"[5, 9, 13, 17, 21]",5,4,5,5,30,-145.3489,-1453.49,204,83.33,16.67,-7.12,7.2,-153.34,50.0,
short,1000,"[6, 9, 12, 15]",6,3,4,3,25,-145.5388,-1455.39,325,87.38,12.62,-4.48,3.03,-132.27,30.0,
short,1000,"[8, 13, 18]",8,5,3,6,20,-145.6851,-1456.85,199,61.31,38.69,-7.32,4.84,-63.34,60.0,
short,1000,"[5, 9, 13, 17]",5,4,4,3,30,-145.732,-1457.32,307,90.23,9.77,-4.75,4.18,-173.08,30.0,
short,1000,"[6, 11, 16]",6,5,3,5,20,-145.8436,-1458.44,260,71.54,28.46,-5.61,4.67,-82.55,50.0,
short,1000,"[6, 10, 14, 18, 22]",6,4,5,6,20,-146.2073,-1462.07,230,65.65,34.35,-6.36,5.51,-58.51,48.0,
short,1000,"[6, 10, 14]",6,4,3,3,30,-146.298,-1462.98,266,89.1,10.9,-5.5,4.39,-182.86,30.0,
short,1000,"[5, 10, 15, 20, 25]",5,5,5,6,30,-146.3771,-1463.77,166,78.92,21.08,-8.82,9.26,-134.74,60.0,
short,1000,"[5, 8, 11, 14, 17]",5,3,5,3,30,-146.6593,-1466.59,323,90.71,9.29,-4.54,3.76,-172.89,30.0,
short,1000,"[5, 8, 11, 14, 17, 20]",5,3,6,7,30,-146.8632,-1468.63,151,76.82,23.18,-9.73,10.39,-157.96,70.0,
short,1000,"[5, 8, 11, 14, 17, 20]",5,3,6,5,20,-146.8745,-1468.74,291,73.88,26.12,-5.05,4.63,-68.89,41.67,
short,1000,"[8, 13, 18]",8,5,3,4,25,-146.9554,-1469.55,207,78.74,21.26,-7.1,4.09,-107.64,40.0,
short,1000,"[5, 9, 13]",5,4,3,3,30,-147.1983,-1471.98,287,89.55,10.45,-5.13,4.64,-193.73,30.0,
short,1000,"[7, 10, 13, 16]",7,3,4,4,25,-147.2057,-1472.06,247,82.19,17.81,-5.96,4.01,-122.09,40.0,
short,1000,"[6, 10, 14, 18]",6,4,4,4,30,-147.2233,-1472.23,226,85.84,14.16,-6.51,5.64,-162.57,40.0,
short,1000,"[5, 9, 13, 17]",5,4,4,7,30,-147.463,-1474.63,139,75.54,24.46,-10.61,11.35,-173.08,70.0,
short,1000,"[6, 9, 12, 15]",6,3,4,4,20,-147.8245,-1478.25,325,78.46,21.54,-4.55,3.26,-86.97,40.0,
short,1000,"[5, 9, 13]",5,4,3,4,30,-147.9448,-1479.45,231,86.15,13.85,-6.4,6.36,-193.73,40.0,
short,1000,"[5, 10, 15, 20, 25]",5,5,5,6,20,-148.0463,-1480.46,236,66.53,33.47,-6.27,6.12,-55.45,36.0,
short,1000,"[7, 10, 13]",7,3,3,5,30,-148.602,-1486.02,173,80.92,19.08,-8.59,7.85,-182.4,50.0,
short,1000,"[5, 10, 15, 20]",5,5,4,5,30,-148.6293,-1486.29,199,82.91,17.09,-7.47,7.49,-158.42,50.0,
short,1000,"[6, 9, 12, 15, 18, 21]",6,3,6,7,20,-148.832,-1488.32,209,62.2,37.8,-7.12,6.4,-60.81,58.33,
short,1000,"[7, 11, 15, 19]",7,4,4,7,20,-149.0546,-1490.55,199,60.3,39.7,-7.49,6.05,-63.61,70.0,
short,1000,"[5, 9, 13, 17, 21, 25]",5,4,6,6,30,-149.5689,-1495.69,169,79.29,20.71,-8.85,9.14,-134.45,60.0,
short,1000,"[7, 10, 13]",7,3,3,3,20,-149.9927,-1499.93,329,81.16,18.84,-4.56,2.1,-91.45,30.0,
short,1000,"[5, 8, 11, 14]",5,3,4,3,30,-150.2407,-1502.41,302,90.07,9.93,-4.97,4.18,-188.33,30.0,
short,1000,"[7, 11, 15, 19]",7,4,4,6,30,-150.3717,-1503.72,153,77.12,22.88,-9.83,8.98,-152.25,60.0,
short,1000,"[7, 12, 17, 22, 27]",7,5,5,6,25,-150.493,-1504.93,180,70.56,29.44,-8.36,6.64,-75.45,48.0,
short,1000,"[8, 12, 16]",8,4,3,7,30,-150.6256,-1506.26,124,71.77,28.23,-12.15,11.13,-161.7,70.0,
short,1000,"[6, 9, 12, 15, 18, 21]",6,3,6,5,25,-150.8444,-1508.44,234,79.06,20.94,-6.45,5.23,-103.57,50.0,
short,1000,"[8, 13, 18]",8,5,3,5,25,-150.9145,-1509.14,184,74.46,25.54,-8.2,5.31,-107.64,50.0,
short,1000,"[6, 9, 12, 15, 18]",6,3,5,7,30,-151.1437,-1511.44,139,74.82,25.18,-10.87,10.84,-162.38,70.0,
short,1000,"[5, 10, 15]",5,5,3,3,30,-151.3482,-1513.48,284,89.44,10.56,-5.33,4.62,-183.45,30.0,
short,1000,"[6, 9, 12, 15, 18, 21]",6,3,6,5,30,-151.4032,-1514.03,194,82.47,17.53,-7.8,6.93,-147.72,50.0,
short,1000,"[7, 12, 17, 22]",7,5,4,5,25,-151.5774,-1515.77,207,75.85,24.15,-7.32,5.4,-94.32,50.0,
short,1000,"[7, 10, 13, 16, 19, 22]",7,3,6,6,30,-151.7834,-1517.83,158,77.85,22.15,-9.61,8.52,-137.65,60.0,
short,1000,"[6, 11, 16, 21]",6,5,4,4,25,-151.8182,-1518.18,257,81.71,18.29,-5.91,4.49,-104.0,40.0,
short,1000,"[6, 10, 14, 18, 22]",6,4,5,6,30,-151.897,-1518.97,160,78.12,21.88,-9.49,8.95,-143.17,60.0,
short,1000,"[7, 10, 13, 16, 19]",7,3,5,5,25,-152.2374,-1522.37,216,77.78,22.22,-7.05,5.13,-107.76,50.0,
short,1000,"[8, 11, 14, 17]",8,3,4,7,30,-152.5448,-1525.45,124,71.77,28.23,-12.3,10.87,-156.58,70.0,
short,1000,"[6, 11, 16, 21]",6,5,4,7,20,-152.5525,-1525.53,201,60.7,39.3,-7.59,6.71,-61.91,52.5,
short,1000,"[5, 10, 15, 20, 25, 30]",5,5,6,6,25,-152.6846,-1526.85,199,73.37,26.63,-7.67,7.38,-75.91,40.0,
short,1000,"[7, 11, 15]",7,4,3,4,20,-152.7942,-1527.94,284,75.35,24.65,-5.38,3.1,-82.02,40.0,
short,1000,"[6, 11, 16, 21]",6,5,4,6,20,-153.3025,-1533.03,227,65.2,34.8,-6.75,5.75,-61.91,45.0,
short,1000,"[8, 13, 18]",8,5,3,5,20,-153.3512,-1533.51,221,66.06,33.94,-6.94,3.8,-63.34,50.0,
short,1000,"[6, 10, 14, 18, 22, 26]",6,4,6,6,25,-153.3641,-1533.64,192,72.92,27.08,-7.99,6.91,-82.67,50.0,
short,1000,"[5, 10, 15, 20, 25, 30]",5,5,6,7,25,-153.7103,-1537.1,172,69.19,30.81,-8.94,8.78,-75.91,46.67,
short,1000,"[5, 8, 11, 14, 17]",5,3,5,4,30,-154.0365,-1540.37,237,86.5,13.5,-6.5,5.87,-172.89,40.0,
short,1000,"[6, 10, 14, 18]",6,4,4,7,30,-154.2442,-1542.44,136,74.26,25.74,-11.34,11.11,-162.57,70.0,
short,1000,"[6, 11, 16, 21, 26]",6,5,5,7,25,-155.1605,-1551.61,167,68.26,31.74,-9.29,8.38,-83.2,56.0,
short,1000,"[7, 11, 15]",7,4,3,5,30,-155.4338,-1554.34,175,80.57,19.43,-8.88,7.59,-172.19,50.0,
short,1000,"[8, 13, 18]",8,5,3,7,30,-156.1479,-1561.48,120,70.83,29.17,-13.01,11.42,-151.95,70.0,
short,1000,"[7, 10, 13, 16, 19]",7,3,5,6,30,-156.6384,-1566.38,157,77.71,22.29,-9.98,8.62,-152.07,60.0,
short,1000,"[5, 9, 13, 17]",5,4,4,3,20,-156.8163,-1568.16,421,83.85,16.15,-3.72,2.59,-82.84,30.0,
short,1000,"[6, 9, 12, 15]",6,3,4,3,20,-157.6396,-1576.4,378,83.07,16.93,-4.17,2.34,-86.97,30.0,
short,1000,"[6, 9, 12, 15, 18]",6,3,5,5,30,-158.1053,-1581.05,192,82.29,17.71,-8.23,7.09,-162.38,50.0,
short,1000,"[5, 9, 13, 17, 21, 25]",5,4,6,5,25,-158.1597,-1581.6,241,78.84,21.16,-6.56,5.81,-90.82,41.67,
short,1000,"[5, 8, 11, 14, 17]",5,3,5,7,30,-158.5025,-1585.02,146,76.03,23.97,-10.86,10.78,-172.89,70.0,
short,1000,"[5, 9, 13, 17, 21, 25]",5,4,6,6,20,-158.7643,-1587.64,240,66.67,33.33,-6.62,6.02,-55.23,40.0,
short,1000,"[5, 8, 11, 14, 17, 20]",5,3,6,6,30,-158.8632,-1588.63,173,79.77,20.23,-9.18,8.86,-157.96,60.0,
short,1000,"[6, 10, 14, 18, 22]",6,4,5,7,20,-159.3864,-1593.86,202,60.4,39.6,-7.89,6.67,-58.51,56.0,
short,1000,"[5, 9, 13, 17]",5,4,4,3,25,-159.4736,-1594.74,344,87.5,12.5,-4.64,3.36,-127.96,30.0,
short,1000,"[6, 9, 12, 15, 18, 21]",6,3,6,6,20,-159.6654,-1596.65,235,66.38,33.62,-6.79,5.38,-60.81,50.0,
short,1000,"[7, 11, 15, 19, 23]",7,4,5,7,25,-159.8665,-1598.67,169,68.64,31.36,-9.46,7.53,-89.6,70.0,
short,1000,"[8, 11, 14, 17, 20, 23]",8,3,6,7,25,-159.984,-1599.84,150,65.33,34.67,-10.67,7.55,-84.39,70.0,
short,1000,"[5, 9, 13, 17]",5,4,4,5,20,-160.0547,-1600.55,289,74.05,25.95,-5.54,4.73,-82.84,50.0,
short,1000,"[5, 10, 15, 20, 25]",5,5,5,7,20,-160.5014,-1605.01,199,60.8,39.2,-8.07,7.55,-55.45,42.0,
short,1000,"[6, 10, 14]",6,4,3,3,25,-160.9402,-1609.4,308,86.36,13.64,-5.23,3.33,-137.37,30.0,
short,1000,"[6, 10, 14, 18, 22]",6,4,5,5,25,-161.0123,-1610.12,229,78.17,21.83,-7.03,5.4,-99.2,50.0,
short,1000,"[7, 10, 13, 16]",7,3,4,5,25,-161.0426,-1610.43,213,77.46,22.54,-7.56,5.25,-122.09,50.0,
short,1000,"[7, 11, 15, 19, 23]",7,4,5,6,25,-161.1068,-1611.07,186,72.04,27.96,-8.66,6.54,-89.6,60.0,
short,1000,"[6, 11, 16, 21]",6,5,4,5,25,-161.2693,-1612.69,220,77.27,22.73,-7.33,5.7,-104.0,50.0,
short,1000,"[7, 10, 13]",7,3,3,4,25,-161.5073,-1615.07,240,81.25,18.75,-6.73,4.26,-136.93,40.0,
short,1000,"[7, 12, 17]",7,5,3,6,30,-161.9084,-1619.08,148,76.35,23.65,-10.94,9.28,-162.26,60.0,
short,1000,"[6, 10, 14, 18]",6,4,4,4,25,-161.9211,-1619.21,266,82.33,17.67,-6.09,4.3,-117.86,40.0,
short,1000,"[8, 11, 14]",8,3,3,6,30,-161.9225,-1619.23,136,75.0,25.0,-11.91,9.84,-171.74,60.0,
short,1000,"[7, 10, 13, 16, 19]",7,3,5,6,20,-162.4904,-1624.9,228,65.79,34.21,-7.13,4.93,-63.45,60.0,
short,1000,"[5, 10, 15, 20]",5,5,4,4,25,-162.5556,-1625.56,280,82.86,17.14,-5.81,4.59,-113.87,40.0,
short,1000,"[5, 8, 11]",5,3,3,3,30,-163.9701,-1639.7,275,89.09,10.91,-5.96,4.99,-204.32,30.0,
short,1000,"[8, 13, 18]",8,5,3,6,25,-164.2069,-1642.07,164,69.51,30.49,-10.01,6.51,-107.64,60.0,
short,1000,"[7, 10, 13, 16]",7,3,4,6,30,-164.4156,-1644.16,155,77.42,22.58,-10.61,8.9,-166.98,60.0,
short,1000,"[5, 9, 13, 17, 21]",5,4,5,6,30,-164.6827,-1646.83,168,79.17,20.83,-9.8,9.21,-153.34,60.0,
short,1000,"[5, 9, 13, 17]",5,4,4,5,30,-164.713,-1647.13,196,82.65,17.35,-8.4,7.62,-173.08,50.0,
