initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
1000,"[-6, -11, -16, -21]",-6,5,4,3,10,-370.75,-3707.5,426,64.08,35.92,-8.7,0.87,-100.0,15.0,
1000,"[-6, -11, -16, -21, -26]",-6,5,5,6,10,-370.8,-3708.0,337,44.81,55.19,-11.0,2.15,-100.0,24.0,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,5,10,-370.8333,-3708.33,262,37.02,62.98,-14.15,0.83,-100.0,16.67,
1000,"[-7, -11, -15, -19, -23]",-7,4,5,5,10,-371.0,-3710.0,319,47.02,52.98,-11.63,1.29,-100.0,20.0,
1000,"[-7, -11, -15, -19]",-7,4,4,6,20,-372.5,-3725.0,181,79.56,20.44,-20.58,5.11,-200.0,60.0,
1000,"[-6, -9, -12, -15, -18]",-6,3,5,7,20,-373.0,-3730.0,188,78.72,21.28,-19.84,6.09,-200.0,70.0,
1000,"[-6, -10, -14, -18, -22, -26]",-6,4,6,5,15,-374.1667,-3741.67,278,73.38,26.62,-13.46,3.16,-150.0,41.67,
1000,"[-8, -12, -16, -20, -24]",-8,4,5,3,15,-374.4,-3744.0,233,73.82,26.18,-16.07,1.35,-150.0,24.0,
1000,"[-5, -8, -11, -14, -17, -20]",-5,3,6,3,15,-375.0,-3750.0,454,86.56,13.44,-8.26,1.61,-150.0,30.0,
1000,"[-6, -11, -16, -21, -26]",-6,5,5,5,10,-375.0,-3750.0,360,48.89,51.11,-10.42,1.78,-100.0,20.0,
1000,"[-8, -13, -18, -23]",-8,5,4,5,10,-375.0,-3750.0,262,37.02,62.98,-14.31,0.84,-100.0,25.0,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,6,10,-375.3333,-3753.33,258,34.11,65.89,-14.55,1.11,-100.0,20.0,
1000,"[-5, -10, -15, -20, -25]",-5,5,5,7,15,-375.6,-3756.0,245,69.8,30.2,-15.33,5.1,-150.0,56.0,
1000,"[-7, -12, -17, -22]",-7,5,4,7,15,-376.25,-3762.5,205,63.41,36.59,-18.35,4.66,-150.0,70.0,
1000,"[-5, -9, -13, -17, -21]",-5,4,5,5,15,-377.0,-3770.0,323,77.09,22.91,-11.67,3.36,-150.0,50.0,
1000,"[-8, -13, -18, -23]",-8,5,4,4,15,-377.0,-3770.0,221,70.14,29.86,-17.06,1.89,-150.0,40.0,
1000,"[-8, -13, -18, -23]",-8,5,4,6,10,-378.0,-3780.0,258,34.11,65.89,-14.65,1.12,-100.0,15.0,
1000,"[-7, -10, -13, -16, -19, -22]",-7,3,6,4,15,-378.1667,-3781.67,277,77.26,22.74,-13.65,1.91,-150.0,40.0,
1000,"[-8, -12, -16, -20]",-8,4,4,3,10,-378.25,-3782.5,277,48.74,51.26,-13.66,0.48,-100.0,15.0,
